Document	psif
Sm lacerations under nose and across right cheek.	nonsif
The yard operator did nt witness this incident but arrived just minutes later.	nonsif
The barbed wire above the cut fence was smashed as well.	nonsif
PTHA audit manual assembly and disassembly.	nonsif
Employee notified within hours.	nonsif
Employee is also pregnant.	nonsif
Employee has a swollen knuckle on the right hand.	nonsif
Employee to contact EHS with outcome of discussion.	nonsif
Employee was inspecting Pebble Sampler at head pulley for pebble conveyor.	nonsif
WHEN PICKING UP RAM BLOCKS THE PAIN BECAME MORE INTENSE.	nonsif
Associate cut their hand on broken glassware while working in a customer facility.	nonsif
EE was lowering a post shore under the formwork deck.	nonsif
EE loosened the shore a few turns to remove the shore.	nonsif
WCV was called they researched for clinics open on Saturday.	nonsif
None were open so WCV advised taking EE to the emergency room.	nonsif
Working at col K.	nonsif
The technician was wearing the proper PPE and was not injured.	nonsif
Employee installed Biocide system and had issues with upper respiratory.	nonsif
The pipe is insulated so the area affected was immediately below the rupture.	nonsif
Kept working on site for another hours.	nonsif
Has another coworker who was working on another site due to down site.	nonsif
Co worker was not on site to help with this install.	nonsif
We observed that Gen cell team.	nonsif
Contractor employee was cutting a beam loose on the DAP th floor.	nonsif
EE states that he feels pain at his Rt Hand.	nonsif
EE states is a hood fitter on every vehicle.	nonsif
EE states he first begain experiencing the discomfort on Sept.	nonsif
I found an unprotective Argon cylinder between rooms B and C.	nonsif
I placed a protective cap on the cylinder that I got from Air Products.	nonsif
The drill slipped off and hit left index finger.	nonsif
Purchase bit holders for cordless power drill.	nonsif
Plastic bags should be contamination free.	nonsif
forcefully shoving a tailpipe on over and over again.	nonsif
EE was cleaning primary screens screens backed up.	nonsif
EE hit his right elbow on the screen bank.	nonsif
Employee was cleaning underneath the Hopper which is by the water treatment area.	nonsif
Employee felt pain in his lower back which pain goes down his left leg.	nonsif
filling two totes through micro meter.	nonsif
chemical production operations.	nonsif
There is no rotating on this job with the team every two hours.	nonsif
The brief also noted that there were landscape contractors in the area as well.	nonsif
He noted this on his job brief once we returned back to the truck.	nonsif
Fault was located from the transformer in the parkway.	nonsif
I was moving the HC U bin and the lever ran into my leg.	nonsif
CRew Hand Dug To Expose Unmarked Phone Cable.	nonsif
Employee was walking from the upper parking lot down to the lower parking.	nonsif
No medical treatement necessary.	nonsif
Ensure improved sanding at the edges of the driveway.	nonsif
Improve sanding all away to entrance.	nonsif
am R hand dominant.	nonsif
Broken cutout while switching JOB BRIEF I was given job brief upon arrival.	nonsif
He informed the dispatcher.	nonsif
Good three part communication was used.	nonsif
Crew leader also ensured any manipulation being performed was on the proper equipment.	nonsif
They agreed and called the OD of the situation.	nonsif
They used three part communication and permission was granted to perform step.	nonsif
Crew leader noted on paperwork the in the future the SG should be replaced.	nonsif
The OES opened alpha ph amp bravo ph without incident.	nonsif
The OES knew that he would not be able to hold the lead cable.	nonsif
He gingerly released his grip on the hot stick and boomed down.	nonsif
A lock out and walk through was done on the west line.	nonsif
Training did not cover policy correctly.	nonsif
Pt had hearing loss when he started working in.	nonsif
states that he uses his ear plugs properly.	nonsif
Strainer EE was removing HP strainer out of BFPT B HP stop valve.	nonsif
CT Damaged FIN Repair at N Green St in Chicago.	nonsif
Scheduled outage to replace wiring harness due to squirrel damaging harness.	nonsif
Meter has no display.	nonsif
This lack of notification resulted in the misutilization of the Area Operating resources.	nonsif
Body Part Back.	nonsif
Department STATOR WIND.	nonsif
Shortly thereafter the Biomed started coughing and was experiencing throat irritation.	nonsif
When I pushed in on bobbin cage I felt a sharp pain in shoulder.	nonsif
They re hard to open.	nonsif
The bobbin cages need to have a different kind of locking system.	nonsif
Questioning Attitude and Suspension A crew called in requesting suspension on kV feeder D.	nonsif
Ambulance run to N.	nonsif
Review the guide softness for a smoother move of the stator.	nonsif
Suppress the pipe before the seasonning action on going for other purpose.	nonsif
See OC injury and illness report form for details.	nonsif
EE in with cut to right middle finger.	nonsif
Front fascia exp years.	nonsif
EE cut finger on clips for light attachment.	nonsif
Supervisor Ryan Viselli.	nonsif
was trying to correct this problem the main motor disconnects became damaged.	nonsif
Contractor will replace this parts as they become available.	nonsif
Stumbled forward with mat stuck to shoes but did nt fall.	nonsif
Vehicle Unsecured MR failed to have their company vehicle secured.	nonsif
Nexants data security controls were previously evaluated in an Exelon IT Security review dated.	nonsif
CN Missing Meter cover.	nonsif
The employee knelt to the ground and nearby employees assisted.	nonsif
EE stated he was hurrying and had multiple things on his mind.	nonsif
Pulling a dash harness out the truck.	nonsif
Stepped off carrier and injured the top of my left foot Time of inj.	nonsif
Subcontractor cable contact on urd program An INTREN Subcontractor Cable Replacement.	nonsif
All PPE was worn and no injuries were sustained.	nonsif
This was a USIC locate and all marks on the ground were accurate.	nonsif
The pit where the cables were struck was dug well with all cables exposed.	nonsif
The Crew Leader took responsibility of the remaining crew members from the other crew.	nonsif
A proper walkdown would have eliminated confusion and avoided this outage.	nonsif
New Cables were coiled on top of the plywood that covered this pit.	nonsif
Preliminary Corrective Actions.	nonsif
The crew was working on circuit E between Transformer H and C.	nonsif
On this crew was tasked with connecting the lateral shots to the transformers.	nonsif
While attempting to shoot to C the strike alert went off.	nonsif
The Operator performed break contact procedures and secured the drill.	nonsif
The Crew Leader then notified his Foreman who called INTREN.	nonsif
Table Government Roll up foot pedal does not have a cover.	nonsif
walking thru box build I stepped on a nail.	nonsif
Employee was taking the stinger out of the dewar in Final Test.	nonsif
It appears the bushing was damaged during.	nonsif
No injuries were sustained.	nonsif
No damage to UP was sustained.	nonsif
Security Assessment STA Quad Cities.	nonsif
I observed worker cutting plywood for the hole.	nonsif
The worker had all proper PPE.	nonsif
All workers had proper PPE.	nonsif
They also were using three points of contact when entering and exiting the hole.	nonsif
Vehicles also had flashing lights.	nonsif
Crew leader from Nash approached with job brief.	nonsif
PSC was signed on to Nash job brief.	nonsif
The crew leader immediately corrected and checked the monitor.	nonsif
Hazards documented and mitigated included traffic slips trips falls climbing confined space material handling.	nonsif
The afternoon FLS took a turnover from the FLS that walked the job down.	nonsif
There was no communication that there was a previous concern from the first crew.	nonsif
Twisted knee left knee front under knee cap by catching foot under frame.	nonsif
One of the other cntractors that was working with him noticed he looked weak.	nonsif
First Responders were called.	nonsif
Good Use of STAR by Station DSD.	nonsif
The Station DSD then STOPPED to investigate.	nonsif
Severe food poisoning following eating in canteen.	nonsif
Violently ill within hours.	nonsif
No other meals eaten that day.	nonsif
Employee was helping out DM paperroom on a R run to the BRU.	nonsif
Employee was at the customers location hospital servicing OEC X ray equipment.	nonsif
He took a break to go to the wash room.	nonsif
Employee has been informed of the hazard analysis at work place.	nonsif
There was an small abrasion to the finger Thumb while cutting pack of diodes.	nonsif
EE tried to push the shore out of the way.	nonsif
EE put right hand in the bottom hole of the shore.	nonsif
EE was transported to the emergency room to be evaluated by a physician.	nonsif
The EE received sutures on both fingers and a prescription.	nonsif
Employee was going to sit on an wheeled office chair when it slid out.	nonsif
Discussion with employee about checking adjustment of chair and requesting assistance if needed.	nonsif
The east gate is being left open and bypassed to keep it open.	nonsif
Coach employees and guard about the security risk of leaving the gates open.	nonsif
Discussed the incident with the guard.	nonsif
EE slipped on floor left leg slipped and EE fell on right knee.	nonsif
No actions to be taken.	nonsif
Employee locked keys in company vehicle.	nonsif
The LC gantry was placed on DOLLY to performs tests at Buc.	nonsif
C was blocked by the DOLLY transverse bars.	nonsif
butler buddy not working.	nonsif
i all most tripped and fell carrying product from the Mezzanine.	nonsif
UCCEPTABLE as this is not sanitary.	nonsif
Sliding box onto frame hit finger on metal post resulting in a blood blister.	nonsif
Employee states on at pm.	nonsif
This caused my foot to twist to the left and back to the right.	nonsif
Slow computer network at Mount Prospect.	nonsif
Constant slow computer network at Mount Prospect office.	nonsif
This causes a slip hazard.	nonsif
Someone could break a leg or hip.	nonsif
OE coached on bad body mechanics Crew assigned the task of replacing a pole.	nonsif
Rules to dig by followed.	nonsif
Crew had on all proper PPE including rubber goods gloves sleeves and pole guard.	nonsif
The MZI employee noticed that the vehicle lock was busted.	nonsif
Over dollars in tools were stolen including the AGBY key.	nonsif
The technician immediately reported the incident to the MZI Supervisor.	nonsif
Minor cut to left elbow.	nonsif
Employee was performing at the Water Jet Packing press.	nonsif
Pushing cage into truck felt a pop in my shoulder left.	nonsif
New employee was not using safety glasses in Lab.	nonsif
Reader Makes Safe Choice.	nonsif
We were using the sulfuric solution to wash evaporator.	nonsif
No one came in contact with the.	nonsif
The crew wore all required PPE including earplugs for task at hand.	nonsif
An action item was not issued to the job owner.	nonsif
He says after that the air got dusty.	nonsif
After that he felt something in his eye and started to rub it.	nonsif
He followed his regular rotation.	nonsif
The guard could nt dislodge the particle he was sent to the hospital.	nonsif
Fan missing guars at press.	nonsif
He then had the FLS call in Emergent locates to verify.	nonsif
Employee reported that on her skin has been irritated and itchy.	nonsif
Fiberglass is disposed of daily from machining area into compactor.	nonsif
Immediately shut down the vent unit and opened all dock doors.	nonsif
Janitorial staff performed wet mop of dock.	nonsif
Determine new method of disposing scrap fiberglass to prevent airborne potential.	nonsif
Clean air handling unit and determine if filter required.	nonsif
TEAM LEADER x yrs.	nonsif
It slide out from under her and she fell onto lt side.	nonsif
Lumbar back hit the riser sticking up because locker was not straight.	nonsif
Also landed on lt.	nonsif
elbow and is not sore.	nonsif
This box trailer was not ours but a rental.	nonsif
Handle was had sharp edges.	nonsif
I WAS MANUALLY PULLING A GLASS RACK ON JOB TRIM BY BB.	nonsif
Employee pulled tray back and was clearing bushing.	nonsif
Employee used air wand to clear the beads out.	nonsif
It was very loose and someone could have potentially fallen out of it.	nonsif
Valve rack inspections inspecting.	nonsif
momentary outages AB.	nonsif
A wooden board that had been placed against a wall had nails protruding outwards.	nonsif
No injury occured.	nonsif
Work related first aid injury incident.	nonsif
Unloading Governors from truck.	nonsif
The meter was exchanged successfully and without incident.	nonsif
This is the first error of this type for this Tech.	nonsif
TR Periodic Exch.	nonsif
Frattelone dozer operator rubbed his eye.	nonsif
After rubbing his eye he felt an irritation and used an eye wash.	nonsif
The site supervisor sent him to the doctor to have it checked out.	nonsif
The doctor said something had been in his eye but was no longer there.	nonsif
No eye drops or prescriptions were given.	nonsif
I went home and put heat on it but today it is hurting worse.	nonsif
Reader Failed to Keep Eyes on Path.	nonsif
East exit from new break room leads to a totally enclosed area.	nonsif
Emplyee became light head dizzy.	nonsif
Site has system in place to salt walkways during icey conditions.	nonsif
I put tape on the car left side door.	nonsif
Employee was using spud bar trying to dislodge rock from from cyclone apex.	nonsif
Bar slipped and sruck employee on right forearm causing bruise.	nonsif
He noticed numbness to fingers following incidents.	nonsif
Individual now has noticed numbness to right hand and fingers more frequently.	nonsif
Reviewed avoidance of arm twisting during lifting tasks with affected individual.	nonsif
I am here to report that both of my hands are hurting.	nonsif
I have been on the door line job in dept.	nonsif
drilling down screws in the module secure area of AA.	nonsif
Issue discussed in Operation and Safety Meeting with Customer Outage Manager and Lead TA.	nonsif
EE was walking towards the West Maintenance Exit.	nonsif
She put her right hand out to break her fall.	nonsif
The rug had a large puddle of water underneath it.	nonsif
She walked to security to report the event.	nonsif
Issues faced with his new car.	nonsif
SLAPPING THE HEADLINER UP INTO THE TRUCK CAUSED THE INJURY TO MY LEFT SHOULDER.	nonsif
THE REPETITIVE MOTION INVOLVED IN THE JOB CAUSED SORENESS OF MY LEFT SHOULDER.	nonsif
While pushing a cage individual trapped his hand between the cage the blue bin.	nonsif
Dock EE signaled center or north.	nonsif
Crewman signaled north.	nonsif
EE started swiftly walking north directly all contractors to stay clear.	nonsif
A welder at the far north was still near the dock face.	nonsif
THE PROBLEM WITH HIS ELBOW DID NOT GO AWAY.	nonsif
This was discussed with the customer and the customer is having the operator replaced.	nonsif
Second incident involved the same Operator lifting over the switch yard and.	nonsif
No indication why the upward travel limit switch was not working.	nonsif
Operators license not verified.	nonsif
the ergo mats are torn and worn out.	nonsif
The employee removed a quick release inch snap clamp from the drill mud hose.	nonsif
The fittings and hose contacted the top of the employee s foot.	nonsif
The impact cut through the employee s safety toed rubber boot.	nonsif
Hose not secured prior to releasing clamp and was free to fall.	nonsif
No safety concern exists.	nonsif
There was a strong smell from the acid and the noise was loud.	nonsif
Good work all members took them and put them in with a good attitude.	nonsif
Truck unloading splitter box hose failed at West ROP tank splitter box.	nonsif
gallons of coag to spill from the tote.	nonsif
The electrical tape was old and ragged looking thus the concern.	nonsif
This resulted in stick extension hitting the ground.	nonsif
EE was trouble shooting pole light that was reported not working by production.	nonsif
After verifying that there was power going up the pole outfall.	nonsif
Employee was driving a pickup along the BMPs on the dragline perimeter.	nonsif
The operator s upper leg was bruised with a raised abrasion.	nonsif
The operator was escorted to the nurse s station where treatment was administered.	nonsif
Left shoulder strained whilst lifting tire cord package.	nonsif
I told my boss of the condition right away at pm.	nonsif
I raised the horn above my head to install it to the hydroform.	nonsif
A piece of dirt fell into my eye.	nonsif
Electrian had gone to pit to repair electrial problem on pit cubicule.	nonsif
Robert Brown was welding a diaphragm.	nonsif
My wrist is hurting from the job I m doing.	nonsif
It started a year ago but it s just starting to hurt worse now.	nonsif
Wrist is no swollen.	nonsif
The crew completed pulling this messenger by hours.	nonsif
The tail of the messenger was approximately feet long.	nonsif
Installing OH Equip.	nonsif
The crew had installed the ropes on the previous work day.	nonsif
At hours the crew set up and began to pull the messenger.	nonsif
It was labeled with feet but only had approximately feet on it.	nonsif
Flickering Lights AA.	nonsif
Threshold shift Hearing loss of Left ear.	nonsif
CN Tripp Near Miss Dog Attack Customer Threat.	nonsif
A foot section of the concrete wall was damaged.	nonsif
Repairs were immediately made.	nonsif
Treated and released to work with no restrictions.	nonsif
Job SASA HOOD SUBASSEMBL hoods x yrs.	nonsif
On Nov the RT hoods were added to the job.	nonsif
EE has double the work now.	nonsif
Also does his old job.	nonsif
When going into excitation module floor panel loose and uneven.	nonsif
Told guy in skid to speak with customer.	nonsif
Went to eyewash station by dorco reactor and flushed it out.	nonsif
a none dangerous one.	nonsif
Today is a rainy humid day.	nonsif
Employee injured on am was treated by security officers D Kasula and J Cyrenne.	nonsif
Noticed wood laying on floor around worker.	nonsif
asked why it was there.	nonsif
he said it had been left there from a previous lift.	nonsif
MORE CONES NEEDED TO EXPAND JOBSITE.	nonsif
Deburring couling bolts blending.	nonsif
Flooring at door has a metal treadel at the edge.	nonsif
It has been bent up higher than the flooring causing a trip hazard.	nonsif
Fire Door Blocked Open.	nonsif
EE fell onto right knee and right palm.	nonsif
Voltage Issues gf.	nonsif
Schedule group error on WO was incorrectly shown as NR.	nonsif
This should have been changed to R when the WO was created.	nonsif
One operator is blending TP without using dust collection equipment in new working cell.	nonsif
Missing fire extinguisher inspection Crew was performing hydroexcavation.	nonsif
Job brief was thorough.	nonsif
Spotters were used for moving equipment.	nonsif
Proper PPE was worn.	nonsif
Fire extinguisher did not have monthly inspections.	nonsif
No injury sustained.	nonsif
operator called robo in on fh to unload doffs onto carrier.	nonsif
After manually operating auto doff clearing the alarm the operator hit the go button.	nonsif
The auto doff proceeded to go to home.	nonsif
We asked him how he did it and he said he did nt know.	nonsif
After he cleaned it up it appeared to be a scratch.	nonsif
NERC CIP ACE CIP R.	nonsif
Baseline Configuration Change.	nonsif
inflammation to right thumb tendonitis.	nonsif
The mirror on the right hand side of the door.	nonsif
They attempted to rinse his eye but it still hurt.	nonsif
He was sent to the medical center for treatment.	nonsif
There was nothing in his eye but his eye was scratched.	nonsif
The snake made it s way out of the work area upon discovery.	nonsif
On Tuesday the ventilation alarm sounded in B.	nonsif
On Wednesday morning there was no signage or communication as to the status.	nonsif
The problem was resolved by am hours later than ideal.	nonsif
A pneumatic tool is used to ratchet the doors open.	nonsif
Work of the stopped minutes earlier than usual.	nonsif
She does not know when and where it happened since no twisting and falling.	nonsif
She went to APAP top control room and Bshipping yesterday no injury reported.	nonsif
Transfer hose was present and on the ground outside of the sump.	nonsif
Responsible party was not in eyeshot.	nonsif
Cones were placed.	nonsif
Appears the employee had on regular glasses.	nonsif
Employee was described as a younger lady with short drk brown hair.	nonsif
The marks were faded but clearly visible.	nonsif
The crew previously paralleled the cable that was hit coming from H on.	nonsif
The crew was working on FDR E off fuse between transformers J and H.	nonsif
He can try an obusform adjustable keyboard tray wrist pad for keyboard and mouse.	nonsif
When working from hotels recommended carrying external mouse and perhaps a folding keyboard.	nonsif
The injured employee was taken to the local clinic for evaluation.	nonsif
Was creeling in G and felt sharp pains in back.	nonsif
Went to office and let B shift Resource know of it.	nonsif
Back is real sore.	nonsif
Customer crew were working in GE area without proper PPE.	nonsif
Whilst dismantling Drytec Generators as per routine procedures a DU Generator was discovered.	nonsif
Safety barrier is not installed aroung the ladder.	nonsif
Last months employee had minor pain in right wrist.	nonsif
employee still has pain all over.	nonsif
Doctor requested employee to stay home until.	nonsif
Doctor stated weeks of restricted duty.	nonsif
Employee had prior injury broken forearm.	nonsif
Wants to be switched to test ech instead of on the assembly line.	nonsif
Employee returned to work stated Doctor prescribed pain meds and muscle relaxers.	nonsif
He had a fever also gave employeee antibotic on May.	nonsif
Employee went to doctor on May and May.	nonsif
When he lifted box it aggrivated the wrist and became quite swollen.	nonsif
Then on began moving furniture on Monday and Tuesday.	nonsif
Moved a conveyor belt that was lbs from AM to PM.	nonsif
Felt tired at AM.	nonsif
At PM felt he lost energy.	nonsif
Began to feel pain in wrist back shoulders and stomach.	nonsif
Employee stayed home on Wednesday.	nonsif
Dr said cartilage in wrist was split and had swollen muscles.	nonsif
Was opening north coarse rougher cone.	nonsif
Had to get valve started with pipe wrench switch to.	nonsif
Valve was way open and pipe wrench slipped mashing little finger on left hand.	nonsif
Employee was wearing gloves.	nonsif
As EE was approaching the BRU they hit a grease spot and slid.	nonsif
EE sustained minor injury to their lower back head and right shin.	nonsif
Employee has slipped over in the restroom after the floor has been cleaned.	nonsif
line machine has no guard on the machine.	nonsif
pallet jack left in driving path FLS was doing morning yard dog.	nonsif
Eye witness statements confirm these violations as well as the mechanic s written statement.	nonsif
repetitive use grabbing bending of the elbow arm on hinge.	nonsif
Paper Cutter leave open up and unattended at the Store Room.	nonsif
Associate was welding Mag Saddles.	nonsif
CPA to A line contractor Mismatch in payment.	nonsif
EE has been hitting his knee on the brackets on his keyboard platform.	nonsif
Worker not complying with mandatory PPE.	nonsif
Assembly and hanging of sound barier assembly operations.	nonsif
First Aid Kits.	nonsif
Operator was working to cut rubber band securing packaging to part M.	nonsif
Operator was holding in left hand while using a scissors in the right.	nonsif
NO INJURY MR PARKED NOT IN FIRST MOVE FORWARD.	nonsif
However then the reader elected to back all the way down a long driveway.	nonsif
All shift as we lifted tailgates arms were falling off.	nonsif
The deviation has rectified accordingly.	nonsif
Had customer weld seem and set pipe back in place.	nonsif
Employees were tasked with changing out the paddles on the C Log washer.	nonsif
Employee lost balance while climbing over structural components of the logwasher.	nonsif
The following lines were identified with customer counts over customers.	nonsif
X customers X customers and X customers.	nonsif
States lots of pushing a lot of pins.	nonsif
Pick up sand and polish months.	nonsif
LIFTGATE SKIVE LEFT weeks and is still having pain left elbow.	nonsif
Pinched R middle finger closed instrument door on finger.	nonsif
there is a large raised area in the Inserts office.	nonsif
Currently it has an orange cone on it.	nonsif
DA Preliminary Findings.	nonsif
DA began reviewing the event shortly after it had occurred.	nonsif
The VISTA control files and full historical logs were pulled from DC VISTA.	nonsif
Preliminary Investigations showed ALRS did not close automatically due to Team Communication issues.	nonsif
This misconfiguration prevented ALRS from closing to customers.	nonsif
Securing front panel bang left index finger against door.	nonsif
He stepped on the conveyor that is above foot from the dryer floor.	nonsif
He started feeling pain on Saturday.	nonsif
Done and job Completed.	nonsif
While moving wrench knock off drill motor which landed on ankle causing a cut.	nonsif
Energy inventory completed.	nonsif
I was straightening racks and smashed my finger.	nonsif
While sleeping at the hotel.	nonsif
When the light turned green the employee released his brakes and started to accelerate.	nonsif
In all others platforms exist.	nonsif
This problem has on all machines at Site.	nonsif
ILLINOIS Install guardrails on all platforms.	nonsif
Cleaning up small chips housekeeping.	nonsif
Metal Grating Employee working on North bag house fan.	nonsif
Taking guard off the west side inboard bearing and removing bearing cap.	nonsif
Employee returned to work no restrictions.	nonsif
Fuel comes from fuel line residue and drop lets was clean after.	nonsif
Reported to TA for verification.	nonsif
Employee was changing out the unit on the v forehearth.	nonsif
In order to change the spinner you have to lock the spinner into position.	nonsif
Possible equipment damage could have occurred due to the electrical problems we were experiencing.	nonsif
Operator noticed suction pressures getting low on and MLP and E Stopped pit pump.	nonsif
Job was stopped.	nonsif
Pulled everyone from the job and communicated proper PPE for breaking ammonia line.	nonsif
I did not see any other opportunities for improvement.	nonsif
Bags weigh approximately lbs Employee in area since start of shift.	nonsif
Half way into shift noticed a sore pain in right shoulder.	nonsif
During next two shifts pain was still there.	nonsif
During day when sleeping noticed arm felt like it went to sleep.	nonsif
Needles in fingers.	nonsif
Employee missed work.	nonsif
MY LEFT FINGER IS CUT.	nonsif
I WAS WORKING ON THE PIC AND PACK.	nonsif
I PULL THE PARTS OUT AND STACK AND PUT CABLES ON.	nonsif
I WHACKED MY HAND ON ONE OF THE PARTS.	nonsif
I FEEL DIZZY AND USEATED.	nonsif
Reminded employee to use gloves when handling wood woodworking.	nonsif
after welding arm on kiln shooting gun mr.	nonsif
stagg was exiting kiln floor via east stairs.	nonsif
upon decending he lost his footing landing on buttocks right arm.	nonsif
Do not lift anything greater than lbs.	nonsif
Get some help or use a crane save your back.	nonsif
Discussed in the morning meeting.	nonsif
Crews were on break waiting for the pipe to soak with solvent.	nonsif
Hazards of working in the substation were discussed.	nonsif
Slips and trips spotters when backing.	nonsif
All workers were wearing FR clothing and PPE.	nonsif
Handrails and shoring were robust and in line.	nonsif
employee was working the V stretchwrappers prior to rotating to the Belt Roll Up.	nonsif
He says he had pulled or rolls when his elbow began to hurt.	nonsif
The fall did not create any leaks in the drum.	nonsif
Employee while backing Company Truck to leave the DL area.	nonsif
The rear bumper struck the front bumper of the Dragline Operator s personal vehicle.	nonsif
There was no damage to the Company s Truck.	nonsif
Worker walked into a hanging air gun with a driver bit in it.	nonsif
quarter panel install months.	nonsif
Employee was seen by the nurse shortly afterwards and received pain relievers and ice.	nonsif
Employee returned to work and is doing fine.	nonsif
Employee was wearing a bump cap and all required PPE.	nonsif
During high winds center phase power line at the outfall pulled loose on insulator.	nonsif
The outfall lost power and was shut down.	nonsif
EHS annual evaluation BRES Anne Sophie Have a lighter labtop PC.	nonsif
Too heavy when your are travelling shoulderache.	nonsif
The crews were to work under suspension on SRS.	nonsif
At approximately hrs dispatch notified MJ InfraSource crews of the outage.	nonsif
Another employee was in aisle and went over to assist.	nonsif
Thats when witness walked over to check on injured employee.	nonsif
Especially so early in the morning and any part of the day.	nonsif
Part of Lifting assembly on lifting beams found to be out of date.	nonsif
UNITED KINGDOM Lifting Assembly quarintined until Inspection carried out.	nonsif
Lifting Assembly quarintined until Inspection carried out.	nonsif
Maintenance technician was in the process of changing out a moisture trap.	nonsif
Lock Tag try was performed on the air valves around the trap.	nonsif
The technician left to go and get wrenches.	nonsif
Outages affect the livelihood and welfare of customers.	nonsif
Upon observation completion OES found wildlife at base of the pole.	nonsif
The transformer was then tested for proper voltage upon completion of the transformer restoration.	nonsif
If wildlife protection is not installed on reoccurring feeders increased outages will occur.	nonsif
As a result the equipment that was in the box fell on the ground.	nonsif
She had a small bruise on the head.	nonsif
There was no open wound and no further treatment was applied.	nonsif
ee states that her job is JD Power Trunk Scuff Plate x years.	nonsif
Today around am she was taking parts out of a large bin.	nonsif
The lid is large approx.	nonsif
x meters and lbs of hard plastic.	nonsif
The water hose became unsecured and started moving.	nonsif
Incorrect SCADA Display Incorrect obsolete information found in INFOD page in SCADA for TSS.	nonsif
cleaning of basement housekeeping.	nonsif
contractor fell to wear proper ppe that was written on safe work permit.	nonsif
He checked his hand and no further treatment applied.	nonsif
He reported to his supervisor immediately.	nonsif
The drill fell on my foot.	nonsif
The drill did not fit into the spot right.	nonsif
They changed the drill on Monday Aug th.	nonsif
OE catches customer equip issue.	nonsif
The OE identified the error and notified the CL.	nonsif
They installed the frost loops and avoided a future issue.	nonsif
I hit my head and cut it.	nonsif
A crew never rotates to rivnuts.	nonsif
The job was explained that C crew does the job differently than A crew.	nonsif
Three trucks later.	nonsif
The employee stated I m lifting rack and pinion sets.	nonsif
The parts that I m lifting are heavy.	nonsif
I then place the rack and pinion set onto a metal rack.	nonsif
Over time I started to experience pain in my right shoulder.	nonsif
