Documents	Fatality_Category	Fatcat_Index
Worker was hit by a load of wall panels that fell off his truck.	falling or propelled object	1028
Worker was on a scaffold and the scaffold tipped over. Worker fell off and hit his head.	fall from height	1029
Victim was installing asphalt shingles and fell 40 feet to the ground.	fall from height	103
Worker was loading pipe onto a truck and was hit by pipe.	falling or propelled object	1031
Four workers were injured by electrical shock. One later injured .	electrical hazard	1032
Worker was mild hit in the head by the kelly bushing which broke free during rigup procedures.	falling or propelled object	1033
Worker putting decking on roof joists was blown off roof by wind. He fell 17 feet and hit his head on a rock.	falling or propelled object	1034
Worker fell 14 feet to the ground from the roof decking on a 10/12 pitch residential roof.	fall from height	1035
Worker injured after falling to the ground when hydraulic ram elevating a telescoping ladder truck broke in half.	fall from height	1036
Worker fell out of a man lift.	fall from height	1037
Worker was in the process of finishing a roofing contract and fell from the roof.	fall from height	1038
Worker was setting up a camera and fell 20 feet.	fall from height	1039
Victim was working from a basket lifted up by a rough terrain forklift that tipped over on its side.	crushed by forklift or similar	104
Worker was cleaning out gutters and fell from a ladder.	fall from height	1040
Worker was felling a tree and was hit by another tree.	falling or propelled object	1041
Worker was hit by a roller that tipped over.	powered vehicle	1043
Worker injured when his head was impaled by metal from the drive section of a Ferris wheel. The employee slipped after acknowledging he was clear and the wheel began to turn trapping his head.	crushed by machinery/moving objects	1044
Tree trimmer hit in the head while walking under a tree on which employees were working tree had been damaged by thunderstorms.	falling or propelled object	1045
Worker was working on the elevator bin deck area and fell into grain bin.	fall from height	1046
Worker was shocked after contacting a sagging 4000volt power line.	electrical hazard	1047
Worker got off tractor which then began to move. Then he tried to get back on to stop tractor slipped and was run over by tractor and trailer.	powered vehicle	1048
Worker was run over by a reversing loader which was moving dirt around a pork chop near an interstate entrance.	powered vehicle	1049
Victim was working in the basket of an articulating truck mounted boom. During movement of the boom victim was catapulted out of the basket.	crane/boom or similar	105
Worker was waving a truck to cross a railroad track and hit by the train rolling the truck over hit the worker under the truck.	powered vehicle	1050
Worker apparently fell while stepping out of a cherry picker and onto a scaffold.	fall from height	1051
Worker was removing a jam from the back of the machine and fell onto the conveyor in the paper pulper. Worker injured or was scalded.	crushed by machinery/moving objects	1052
Worker was working from a scissor lift removing a glass wagon and was hit by/hit by an overhead gantry crane.	falling or propelled object	1053
Temporary worker sustained a mild hit head injury when his head was caught between two moving parts while removing purge from a blow molding and conditioning machine.	crushed by machinery/moving objects	1054
Worker was working on a transformer came in contact with an energized 37 kV cable inside a transformer.	electrical hazard	1055
Worker was operating a Bobcat machine while installing a culvert drain pipe. The worker was thrown from the seat when the machine slid off an embankment and was injure when the machine rolled over him.	falling or propelled object	1057
Worker was assisting with the setting of tiltup precast wall panels and was hit in the head by a falling pipe brace.	falling or propelled object	1058
Worker was on top of a tree and was repelling down to make his cut and hit the ground.	falling or propelled object	1059
Victim was assembling a stairway on the outside of a grain bin. He was stepping from the stairs to a metal ladder and suffered an attack possible electric shock and fell to the ground.	falling or propelled object	106
Worker was diving for black coral and injured .	various	1060
Worker was going to her car after work when she was hit by the vehicle of another worker pulling their truck out to leave.	powered vehicle	1061
Worker had installed a new tool and was making a dry run. The tool flew out of the machine and hit the worker on the head.	crushed by machinery/moving objects	1062
Worker was working construction installing a swimming pool. Worker injured from a heat stroke.	heat stress or non-specific	1063
Three workers were repairing two vertical support columns. During this activity the roof collapsed. One worker mild and two workers were hospitalized.	crushed by machinery/moving objects	1064
Worker was hit by flying metal debris.	falling or propelled object	1065
Worker fell from ladder while installing trim on the side of a warehouse metal building.	fall from height	1066
Worker was renovating a piece of farm equipment. A piece of the equipment fell and hit him.	falling or propelled object	1067
Worker doing laundry work and became dizzy.	heat stress or non-specific	1068
Worker was attaching sheet metal screws on a prefabricated metal building and fell from a scissor lift or a forklift platform.	fall from height	1069
Victim was pressure washing a vessel standing on a scaffold 15 to 20 feet and fell.	fall from height	107
Worker was working on an oil and gas tank the tank exploded.	fire/explosion	1070
Work collapsed in the field from heat exhaustion.	heat stress or non-specific	1071
Worker was performing electrical wire replacement placed electrical wire in mouth then grabbed a metal scaffold. Worker was shocked .	electrical hazard	1072
Worker was inside a 212foot diameter tank cleaning out sludge when the air line to the respirator popped off worker collapsed.	confined spaces	1073
Worker was working in a temporary transformer and was shocked .	electrical hazard	1074
Worker was hit on the head by a falling tree.	falling or propelled object	1075
Worker was working in a roof truss for a winery. The roof truss collapsed and the worker fell.	fall from height	1078
Worker was disassembling/disconnecting a vertical turning lathe and was hit by the 1200pound head ram of the lathe.	falling or propelled object	1079
Victim was working an outdoor sale at a store and was hit by a car hit the victim to the building.	powered vehicle	108
Two workers were hit by a customers car. One worker mild and one worker was hospitalized.	powered vehicle	1080
Worker was performing lawn care services and was hit by an oncoming car.	powered vehicle	1081
Truck driver sustained mild injuries as a result of being involved in a threevehicle accident with company truck.	powered vehicle	1082
Worker was working on the roof of a greenhouse repairing a hole. Worker slipped and began to slide six feet down the roof until falling through the hole landing on feet then falling back hit the ground with head.	fall from height	1083
Police officer was finishing his shift when an individual walked up to him in his personal vehicle. The individual reached for the officers service revolver and fired three shots at him hit him in the head.	violence, often during robbery	1084
Worker discovered by coworkers after falling from ladder. injured enroute to hospital.	fall from height	1085
Working was using a lawn mower it flipped over hit him beneath the water and worker injured .	powered vehicle	1086
Worker was helping to hook up a trailer when he was hit by a truck backing into a dock.	powered vehicle	1087
Two workers were fixing a clogged sewer and were overcome by sewer gases. One worker mild and one worker was hospitalized.	chemical exposure	1088
Worker was setting anchor bolts into a 4foot concreteformed wall collapsed and fell backwards. Worker suffered from heat exposure.	falling or propelled object	1089
Victim was performing drywall work and fell 9 feet from a tubular welded scaffold.	fall from height	109
Worker was run over by a flatbed truck.	powered vehicle	1090
Worker was working on an energized electrical cabinet and was shocked .	electrical hazard	1092
Worker was engaged in welding activities on an overhead air pollution control unit and was hit by a small piece of welding equipment/tool that fell from overhead.	falling or propelled object	1093
Worker was on a scissor lift stripping electrical wires and was noticed lying on the floor of the bucket of the scissor lift. Worker was shocked .	electrical hazard	1094
Worker fell from a pallet that was elevated eight feet above the ground by a forklift.	crushed by forklift or similar	1095
Workers left arm was cut while working near a conveyor. Emergency assistance was called but the employee was pronounced injured at the scene.	crushed by machinery/moving objects	1096
Worker was in the process of rigging up the cable that was holding up the rig. The cart and the top drive track fell. The cart hit the worker.	falling or propelled object	1097
Worker was changing a flat tire on a business trailer. Worker was jacking up the trailer and the trailer fell onto the worker.	falling or propelled object	1098
Worker was in the process of moving between cattle pastures. Worker got out of the truck to open the gate and was hit by the truck.	powered vehicle	1099
Victim was on a roof preparing an estimate. He started to come down from the roof and the ladder became dislodged. Victim fell 12 feet to the concrete driveway.	falling or propelled object	11
Victim was cleaning out a pit at a grain elevator. He was walking near the unguarded opening and fell through 1520 feet to the bottom of the pit.	fall from height	110
Worker was working on the roadway milling a joint in front of a bridge and was hit by a vehicle.	powered vehicle	1100
Worker was working on the ground contacted an energized wrecking ball and was shocked .	electrical hazard	1103
Worker stepped out of drivers door of dump truck and was hit by another dump truck that was backing up within the lane closure.	powered vehicle	1104
Worker was installing a new wire for a 72 kV transmission line and was shocked .	electrical hazard	1105
Worker was cleaning the inside of a rail car that previously had gas inside. A flash fire occurred and worker was burned.	powered vehicle	1107
Worker was preparing and pouring a concrete patio. Worker began to show signs of heat exhaustion/heat stress lost consciousness.	fall from height	1108
Worker fell into a compactor and was hit .	electrical hazard	1109
Victim was in a 60foot high silo unclogging a discharge hole. While in the process of drilling a hole and remvoing the pipe the victim clutched his chest and fell over.	fall from height	111
Worker was run over by a dump truck while working as a laborer on a road construction project.	powered vehicle	1110
Truck driver was strapping down steel coils on his trailer when one of the coils fell off the truck and hit him.	powered vehicle	1111
Worker was removing stakes and strings from the fields and collapsed.	various	1112
Worker was standing on a ladder performing tree trimming and fell from the ladder.	fall from height	1113
Worker was transferring sand from a rail car into a truck using a conveyor belt loading machine. Fell onto the rotating conveyor belt and was caught inside the machine.	crushed by machinery/moving objects	1114
Worker fell off the back of a golf cart hitting his head.	powered vehicle	1115
Worker was adjusting an hydraulic frontend bucket with a clamping device on a truck when he was hit between the bucket and clamping arm.	crushed by machinery/moving objects	1116
Worker was hit between the boom of the backhoe and the stabilizer outrigger leg.	crushed by machinery/moving objects	1117
Worker shooting squirrels was injure when hit by a falling limb.	falling or propelled object	1118
Worker riding in the back of a pickup truck fell out of the truck and hit his head when the truck hit a bump.	powered vehicle	1119
Victim was moving a ladder and touched the overhead power line with the ladder. He was shocked .	electrical hazard	112
Worker was loading a truck and passed out.	powered vehicle	1120
Worker was servicing a utility pole to restore service to clients came in contact with the energized part of an electric transmission line and was shocked .	electrical hazard	1121
Worker fell into a blocklayers mortar mixer and was injure by revolving paddles.	falling or propelled object	1122
Worker was climbing down from a scaffold to get water and fell from the scaffold.	fall from height	1123
Worker was working under a forklift. The front being supported by two jackstands. He was removing a hydraulic cylinder it fell on his hand. The jackstands became dislodged and the forklift fell on the worker hit his head and chest.	crushed by forklift or similar	1124
There was an explosion in B column. Two worker mild .	fire/explosion	1125
Worker was working to install a fiberoptic line and became unconcious possible heat stress.	heat stress or non-specific	1126
Two workers were in the process of performing arc welding on a oil tank that contained 85 barrels of crude oil. The tank exploded. The workers were blown up to 60 feet from the pad of the oil tank receiving mild burns.	fire/explosion	1127
Worker was standing by a flatbed trailer during loading operations and material rolled from the trailer hit the worker.	crushed by machinery/moving objects	1128
Worker trapped in trench up to his waist was hit in the head.	falling or propelled object	1129
Victim was working from an 8foot step ladder doing caulking on a ceiling/wall area and fell to the ground.	fall from height	113
Worker suffered an electric shock while operating a resistance welder. Hospitalized after injury and injured five days later.	electrical hazard	1130
Worker was hit in the head when a pipe rack on an oil drilling rig failed/collapsed. At the time of the failure the employee was positioned under a portion of one of the support members for the pipe racks.	falling or propelled object	1131
Worker was in bucket truck performing tree trimming services and fell 15 feet hitting his head.	fall from height	1132
Worker became stuck in top opening of a 37inch deep mixing tank. Was found unresponsive with head and torso in the tank.	various	1133
Worker drove off an embankment while driving a loaded log truck.	powered vehicle	1134
Worker was hit when caught between an automatic laundry hopper on a shuttle conveyor and an industrial washing machine.	crushed by machinery/moving objects	1136
Worker doing cable installation fell off ladder to the ground.	fall from height	1137
Worker was using a powered vehicle conducting a routine security inspection. The vehicle rolled over hit the worker.	powered vehicle	1138
Worker shocked while working on a residential air conditioning unit.	electrical hazard	1139
Victim was operating a knuckle boom truck and was hit between the boom and the controls.	falling or propelled object	114
Worker was feeding paper to a paper reel winder his hand got caught and he was pulled through receiving hit injuries.	crushed by machinery/moving objects	1140
Worker was replacing a tire on a skid steer loader when he was hit between the bucket assembly and the main frame of the loader.	powered vehicle	1141
Worker sanding the ceiling of a breezeway fell approximately 30 feet from a third floor landing to the floor below. There were no guardrails in place and the employee was not wearing fall protection at the time of the accident.	fall from height	1142
Worker was using a forklift to move a small dumpster to a larger dumpster. He got off the lift to adjust the dumpster and did not lower the lift or turn it off. The lift moved forward and hit him.	fall from height	1143
Worker was taking samples at a new road construction jobsite and was hit by a dump truck or asphalt truck.	powered vehicle	1144
Worker was hit in the head by a metal pulley being used to drag fallen trees when the nylon strap to which it was connected broke.	falling or propelled object	1145
Worker was retrieving golf balls and injured .	various	1146
Worker was smelled in corn.	falling or propelled object	1147
Worker was performing paving work activities outside the established work zone and was hit by a passenger motor vehicle.	powered vehicle	1148
Worker was ascending to the roof and fell from the ladder.	fall from height	1149
Victim was hit and hit by two trackhoes.	powered vehicle	115
Worker hit in the head after a injured tree being cut down fell on top of another tree which fell on the worker.	falling or propelled object	1150
Worker was buried in 11 feet of soil after a trench collapsed during the connection of piping for installation of a trench drain.	falling or propelled object	1151
One worker was injure and another was injured after falling 20 feet when a scissor lift being used to attach a sling to an unsecured beam was knocked over when the beam tipped.	fall from height	1152
Worker was performing electrical testing and sustained injuries.	electrical hazard	1153
Worker was collecting TTC signs and was hit by a tractor trailer.	powered vehicle	1154
Worker was operating an extended boom forklift to set roof trusses. He was driving on a sloped surface when the truss he was carrying dug into the ground. Worker raised the boom to get the truss out of the ground and the forklift became unstable.	crushed by forklift or similar	1155
A police officer was hit and injure by a vehicle while performing traffic control at a fireworks event.	powered vehicle	1156
Worker was constructing a bridge and fell.	fall from height	1157
Worker was performing tree removal services and was standing on top of his bucket truck waiting to winch some logs. Worker fell off the truck to the ground between some logs.	fall from height	1158
Victim was conducting service work on a coke vending machine and was shocked .	electrical hazard	116
Worker suffered brain injury after tripping over phone cord that got wrapped around his leg during a phone call and falling on right side.	falls, often at ground level	1160
Worker was delivering liquid propane to a residence when he was hit by a 500gallon aboveground tank that dislodged and rolled on top of the worker.	crushed by machinery/moving objects	1161
Worker was in a rollon rolloff RO/RO operation and was hit by an intermodal container.	falling or propelled object	1162
Worker was shocked after making contact with a truck that had a fallen powerline on it.	electrical hazard	1163
Worker shocked after making contact with power lines while trimming trees.	electrical hazard	1164
Worker was unloading a metal crate from a truck inside a loading dock when metal crate door unexpectantly opened. Suffered mild crushing injuries.	falling or propelled object	1165
Worker was performing steel erection and fell.	fall from height	1166
Worker was constructing curb and gutter work in preparation for a concrete pour. Worker was found later collapsed hyperthermia was listed as cause of injured .	heat stress or non-specific	1167
Worker fell 35 feet from a tree.	falling or propelled object	1168
Victim fell from a 3step ladder.	fall from height	117
Worker was working in an excavation and the trench wall caved in on the worker.	falling or propelled object	1170
Worker was in an aerial lift and made contact with an electrical wire.	electrical hazard	1171
Two workers were working in a building that collapsed from high winds.	falling or propelled object	1173
Worker was working on a doublewide mobile home. The jack failed and the mobile home shifted hit the worker.	falling or propelled object	1174
Worker was hit by a interior block wall.	falling or propelled object	1175
Worker was hit by a concrete form.	crushed by machinery/moving objects	1176
Worker was working in a trench and the trench collapsed burying the worker.	falling or propelled object	1177
Worker was shocked after making contact with a 7200 volt electric line while installing fiberoptic cable.	electrical hazard	1179
Victim during a grinding operation was hit by an exploding grinding wheel.	crushed by machinery/moving objects	118
Worker was operating a boring auger machine that was located at the bottom of a trench and was hit by the boring auger machine.	crushed by machinery/moving objects	1180
Crew was using a bottom belly dump to lay a window of hot asphalt. Worker was bent over with his back to the approaching belly dump and was hit and hit by the wheels of the loaded belly dump.	powered vehicle	1181
Worker was riding an allterrain vehicle ATV and taking soil samples. The ATV crested the top of a ditch hit a boulder and overturned. ATV landed on top of the worker.	powered vehicle	1182
Worker was troubleshooting a humidity problem and fell from a ladder.	fall from height	1183
Worker was reconnecting a trailer section that had come loose and was hit by another semi truck.	crushed by machinery/moving objects	1184
Worker collapsed after exiting a manhole.	various	1185
Worker was using a broom handle to push ground wire into the live wire and caused an arch shocked .	electrical hazard	1186
Worker run over by a dump truck while working as a laborer on a road construction project.	powered vehicle	1187
Worker was working from a bucket in the process of removing a utility pole. An auger was being used to widen the hole and remove the dirt. The auger hit a gas line and exploded burning the worker.	fire/explosion	1188
Worker was unloading a skid lost control fell and hit his head on the ground.	powered vehicle	1189
Worker fell and hit his head while trying to climb over a partition wall to gain entry into a locked adjoining office.	falls, often at ground level	1190
Worker Police Chief involved in a motor vehicle accident with civilian driver.	powered vehicle	1191
Worker was traveling in a boat and hit an intracoastal channel marker. He was ejected from the boat and hit the pylon head first.	various	1192
Worker was repairing a 7200volt twostrand electric distribution line and was shocked .	electrical hazard	1193
Worker fell through roof of his business while attempting to fix an air conditioner.	fall from height	1194
Worker was working on a roof of a firedamaged building. He was on a ladder and slipped falling from the upper roof to a lower roof then to the asphalt 20 feet below.	fall from height	1195
Worker was operating a forklift when he hit a curb becoming hit under overturned forklift.	crushed by forklift or similar	1196
Worker injure in vehicle accident en route to Mammoth CA.	powered vehicle	1197
Worker fell from an iron rung ladder at the top of a 4story building while carrying equipment up the ladder.	fall from height	1198
Worker contacted a power line and was shocked .	electrical hazard	1199
Victim was herding cattle for the feedlot from a horse. The horse stumbled and fell. Victim subsequently fell.	fall from height	12
Employee was involved in a bridge blasting and painting operation. Employee was wearing a harness but was not tied off to the horizontal lifeline. Fall from the elevated walkboard resulted in mild injuries.	crushed by machinery/moving objects	120
Worker was unloading mattresses and box springs and was stung by a bee.	various	1200
Worker was hit by the counterweight and revolving superstructure of an excavator when he walked between the excavator and a hillside.	crushed by machinery/moving objects	1201
Worker was underneath an attenuator truck releasing the cushing bed. He released the bed and it fell on him hit him.	powered vehicle	1202
A drill rig lost footing and rolled down a hill landing on the worker.	falling or propelled object	1203
Worker was removing a roof that was under renovation and fell through a section of galvanized sheet metal 35 feet to the concrete floor.	fall from height	1204
Worker police officer injured of injuries suffered after losing control of a police car which overturned during a chase ejecting the officer.	powered vehicle	1205
Worker was working 10 feet below street level cleaning dirt from a newly installed culvert when the worker fainted.	various	1206
Worker sustained mild injuries after company truck which worker was driving was hit by an oncoming train.	powered vehicle	1207
Worker was testdriving a cycle for a customer when he received mild injuries from a traffic accident.	powered vehicle	1209
Employee was in the warehouse when a pallet of door panels stacked 15feet high and weighing 850 lbs fell from the top of the stacked palets hit the employee.	falling or propelled object	121
Worker was sandblasting a metal plate. The plate fell over and hit him.	falling or propelled object	1210
Worker fell 160 feet from water tower.	fall from height	1211
Plumber fell 20 feet through a ceiling to the floor below. Sustained abdominal injuries and severe fractures injured 6 months later never fully recovering from injuries.	fall from height	1212
Worker was performing roofing activities and fell 40 feet to the concrete surface below.	fall from height	1213
Worker was working on a machine which was supported on the forks of a fork truck. The machine shifted and fell off the fixture which was supporting the machine on the forks. The machine fell on the worker.	crushed by forklift or similar	1214
Worker was shocked while working underneath a residential home performing plumbing work.	electrical hazard	1215
Worker was cleaning the tank of a diesel truck and was on top the tank car replacing a cap and fell from a height of more than 10 feet.	fire/explosion	1216
Worker collapsed with seizures.	various	1217
Two workers were walking on ramp of interstate when one of the workers tried to cross/step over the jersey wall and fell 23 feet onto two concrete pipes.	fall from height	1218
Worker was refurbishing a house and fell from a porch down four steps onto cement.	fall from height	1219
Employee was working from a ladder and fell to the ground. Head injuries resulted in a mild .	fall from height	122
Worker was shocked while installing a drop pole in an office cubicle in a state office building. Worker was wiring the whip for the power pole when the pole was energized.	electrical hazard	1220
Worker was seriously burned after becoming doused in solvent while operating a forklift near a solvent line. Employee left forklift to cut off solvent supply. Solvent ignited while en route to safety shower.	fire/explosion	1221
Worker was performing exterior painting and fell 20 feet out of a manlift.	fall from height	1222
Worker was working from a manlift. He was working below power lines and raised the bucket of the aerial lift into the power lines where his forehead contacted the power lines.	electrical hazard	1223
Worker was felling a tree manually using a chain saw and was hit on the head by a limb from the tree.	falling or propelled object	1224
Worker was caught between rotating drum and loading hopper of a readymix truck.	powered vehicle	1225
Worker fell from catwalk or scaffold.	fall from height	1226
Worker was run over by a coworker at a job site.	powered vehicle	1228
Worker was standing behind his semitractor rig and attached chassis and was hit against the chassis attached to his truck by another rig and chassis.	falling or propelled object	1229
Employee was working with a gasoline powered scarifying machine. Probable cause of injured was carbon monoxide poisoning.	crushed by machinery/moving objects	123
Worker was performing solder work to repair a hot water heater leak and dropped burning solder onto the floor causing an explosion to occur. Worker ran out of the house with severe burns.	fire/explosion	1231
Worker was elevated 25 feet in the air on a highlift rider truck. The truck was knocked over by a second fork truck and the worker hit his head on concrete.	fall from height	1232
Reported as an shocked however there is dispute about whether or not worker was shocked or became entangled in cord that fell in pool.	electrical hazard	1233
Worker was working underneath a vehicle. The vehicle fell off the jack stands that were supporting it hit the worker.	falling or propelled object	1234
Worker hit in head from material falling from crane while fabricating tank in bender.	falling or propelled object	1236
A plumber was shocked while performing repairs under a home.	electrical hazard	1237
Worker fell from catwalk while removing a hopper on a silo.	fall from height	1238
Worker was eating lunch and swallowed a bee.	various	1239
Employee was observed hanging by his harness from the bridge of a Kone 60ton crane. After rescue the coroner reported the cause of injured was shocked .	electrical hazard	124
Worker was operating a baggage tug and was ejected.	falling or propelled object	1240
Worker was inflating a mounted semitrailer tire and was hit on the crown of the head by the exploding tire.	falling or propelled object	1241
Worker sustained mild injuries after becoming hit under a tree.	crushed by machinery/moving objects	1242
Worker shocked after making contact with live wire while moving lives from an old pole to a new one.	electrical hazard	1243
Worker was attacked by a bear that he was feeding/training.	violence, often during robbery	1244
Worker was working on a security light and fell from a ladder.	fall from height	1245
Worker was setting up a truck to auger a hole for a power pole. While raising the drill boom made contact with 17 KV overhead power line.	electrical hazard	1246
Worker was performing salvage operations of an oil field tank battery following an explosion from a lightning hit . During the salvage operations there was hissing noise followed by an explosion mild injuring the worker.	fire/explosion	1247
Worker sustained mild injuries after being hit in the head as a 4wheel crane which worker was in the back of fell over while erecting a cell tower.	fall from height	1248
Worker was unloading products from a truck. While working from the top of the truck fell and cracked head open.	powered vehicle	1249
Employee was below the elevator releasing the elevator jaws. The elevator dropped hit the employee.	crushed by machinery/moving objects	125
Worker was hit on the head by a pipe that was being moved.	falling or propelled object	1250
Worker was hit by a forklift and hit into a compressor.	crushed by forklift or similar	1251
Worker was connecting a 36foot steel beam to imbeds on a poured concrete wall. The beam was being held by two clips. The worker was sitting on top of the wall the clips failed and the beam fell pullling the worker off the wall.	falling or propelled object	1252
Worker was engaged in road work and was hit by a vehicle.	powered vehicle	1253
Research assistant hit by train while studying the effects of the forest preserve on the surrounding wildlife.	powered vehicle	1254
Worker climbed over a guardrail and fell through a floor hole.	fall from height	1255
Worker was cutting down wind damaged trees and a 60foot tall tree fell on him.	falling or propelled object	1256
Worker was moving a large metal shelving unit and drove one wheel of the powered industrial truck off the edge of the dock platform. Worker attempted to jump clear as the truck began to fall and hit and hit to the concrete surface by the protective cage of the truck.	powered vehicle	1257
Worker hit to injured by a load of copper tubing after losing his balance when load came off the hook as it was being loaded on a flat bed semi.	falling or propelled object	1258
Worker was part of a litter crew that was working along a roadway and was hit by a car.	powered vehicle	1259
Employee was installing a new tire. The explosive separation of the and its components resulted in mild head injuries.	falling or propelled object	126
Worker was applying acrylic roof coating on a building roof and the section of the roof gave way due to corrosion. Worker fell through the roof and landed on a concrete surface 30 feet below.	fall from height	1260
Worker sustained mild injuries after being hit by a log that became unsecured.	falling or propelled object	1261
Worker was working in an aerial lift on a boom truck. The boom snapped in half and the worker fell with the boom.	crane/boom or similar	1262
Worker hit to injured after getting hit in a rollup door that was closing.	crushed by machinery/moving objects	1263
Worker was laying concrete and collapsed.	various	1264
Worker was relocating sprinkler heads working from a 10foot step ladder and fell four to six feet to the ground.	fall from height	1265
Worker was using a stand up forklift to pull an order of frozen chicken from a 5 tier rack with 3 pallets per location. Worker was found on the floor covered with bags and cases of frozen chicken.	various	1266
Worker was unclogging auger openings in a grain bin. The grain that was caked on the walls fell on the worker smelled him.	falling or propelled object	1267
Worker was caught between a waste collection truck and a trash bin.	heat stress or non-specific	1268
Worker was riding a pallet on the forks of an industrial truck when his foot was caught between the pallet and stationary object. Worker injured of a reported embolism at a medical facility.	crushed by forklift or similar	1269
Employee was engaged in residential roofing work and fell 26 feet to his injured .	fall from height	127
Worker was assembling industrial racks and fell five feet to the ground below hit his head on the concrete floor.	crushed by machinery/moving objects	1271
Worker slipped in the kitchen area.	falls, often at ground level	1272
Worker was running electrical lines through metal conduit and collapsed.	various	1273
Worker was run over by coworker while making grade measures.	powered vehicle	1274
Worker suffered mild injuries after getting caught between forklift mast and 1600 lbs of baled cardboard.	crushed by forklift or similar	1275
Tree service worker suffered mild injuries after falling 63 feet from a tree and landing on previously cut limbs and branches.	falling or propelled object	1276
Worker was mild injured after getting caught in between while connecting a second trailer to a lead trailer.	crushed by machinery/moving objects	1277
Worker was installing a tire on a truck. The tire exploded hit the worker.	falling or propelled object	1279
Employee was hit by a derrick.	falling or propelled object	128
Worker was performing maintenance work on a water pump and was shocked .	electrical hazard	1280
Worker was hung by a safety strap while working on an extended boom lift after the boom snapped.	crane/boom or similar	1281
Worker was hit by an industrial truck that fell on him.	crushed by machinery/moving objects	1282
Worker was standing on the edge of the roof and fell 60 feet.	fall from height	1283
Worker was tracing an electrical short and contact was made with the live circuit.	electrical hazard	1284
Worker was shocked after making contact with a 110volt doorbell transformer while performing A/C service.	electrical hazard	1285
Worker was stabbed and murdered at delivery site.	violence, often during robbery	1286
Worker was shocked after cutting into an energized electric line while working in the attic of a residence.	electrical hazard	1287
Worker was operating a machine and was pulled through the machine.	crushed by machinery/moving objects	1288
Worker was run over by truck.	powered vehicle	1289
Employee operating a skid steer loader on a slope was injure when the skid stree loader rolled over.	powered vehicle	129
Worker suffered mild injuries burns consistent with shocked while working 35 to 40 feet into a crawl space while attempting to repair water heater.	electrical hazard	1290
Worker was operating a riding lawn mower. The lawn mower went into a pond hit the worker under it.	powered vehicle	1291
Worker was in the process of installing a backup generator and was shocked .	electrical hazard	1292
Worker was performing welding repairs on the log selector gate and was hit by the gate. The equipment was not properly locked and tagged out for maintenance.	crushed by machinery/moving objects	1293
Worker received mild head injuries while loading a tractor on a trailer for hauling.	powered vehicle	1294
Worker received mild injuries after being run over by a road grader.	powered vehicle	1295
